relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
results/tables/multigroup_mofa_module_cross_set_sensitivity.csv,__table__,152,8,21194,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_module_cross_set_sensitivity.csv,__table__,138,8,22915,__index__,0,0,0,186,0.0,False
paper5/human/TARGET_OS/methilation/clinical.cart.2026-08-10/clinical.tsv,__table__,136,202,174012,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_true_iamb_gsmb_ablation_selected_genes.csv,__table__,136,6,4372,__index__,0,0,0,186,0.0,False
results/tables/GSE239948_blind_discovered_module_subsample_stability.csv,__table__,134,9,12998,__index__,0,0,0,186,0.0,False
results/tables/GSE239948_blind_discovered_module_summary.csv,__table__,134,5,21543,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_leave_module_out_proliferation_full_cohort.csv,__table__,130,24,63796,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_repeated_cv_program_model_contrast_summary.csv,__table__,112,28,51043,__index__,0,0,0,186,0.0,False
results/tables/frozen_strict_human_proliferation_mapping.csv,__table__,111,5,7235,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure 5,109,34,115541,__index__,0,0,0,186,0.0,False
paper5/human/TARGET_OS/gdc_download_20260810_185352.818424/0bbb355b-da04-474a-a4f8-cacac10af5ee/TARGET_OS_ClinicalData_Discovery_20230709.xlsx,Clinical Data,100,29,23429,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_RNA_master_candidate_evidence_top100.csv,__table__,100,82,46563,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_nested_cv_method_benchmark.csv,__table__,90,9,10728,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_pca_clinical_associations_top5000var.csv,__table__,90,11,12304,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_RNA_module_ortholog_mappability_summary.csv,__table__,90,10,20286,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_RNA_module_ortholog_qc_summary.csv,__table__,90,16,39936,__index__,0,0,0,186,0.0,False
data/processed/human_validation/TARGET_OS_clinical_standardized.csv,__table__,88,16,29748,__index__,0,0,0,186,0.0,False
paper5/data_manifest/GSE295311_GEO_sample_metadata.csv,__table__,81,6,10501,cotc_ids,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure 3,79,9,115541,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure 8,79,8,115541,Patient ID,0,0,0,186,0.0,False
paper5/data_manifest/TARGET_OS_technical_metadata/TARGET_OS_technical_covariate_case_matrix.csv,__table__,78,29,24763,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_module_residualized_proliferation_analysis.csv,__table__,78,28,45313,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_factor_activity_patterns.csv,__table__,73,9,10225,__index__,0,0,0,186,0.0,False
paper5/data_manifest/GSE149679_sample_metadata.csv,__table__,68,7,4785,cotc_ids,0,0,0,186,0.0,False
data/processed/DOG2_univariate_clinical_cox_results.csv,__table__,64,15,14292,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_module_capture_rank_summary.csv,__table__,62,11,10030,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_nested_cv_expanded_random_control_summary.csv,__table__,60,11,10067,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure 9,59,8,115541,__index__,0,0,0,186,0.0,False
data/external_parent_trial/42003_2023_5208_MOESM4_ESM.xlsx,Figure S3,59,9,115541,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_module_capture_rank_summary.csv,__table__,54,12,9967,__index__,0,0,0,186,0.0,False
data/processed/human_validation/GSE21257_clinical_standardized.csv,__table__,53,48,262573,geo_sample_id,0,0,0,186,0.0,False
results/tables/GSE21257_GEO_phenotype_raw.csv,__table__,53,37,123501,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_candidate_gene_proliferation_adjustment_results.csv,__table__,52,32,25941,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k16_r2.csv,__table__,52,4,2109,__index__,0,0,0,186,0.0,False
results/tables/Ammons_scRNA_localization_README.txt,__table__,51,1,5840,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_targeted_vs_variable_only_capture.csv,__table__,51,9,12628,__index__,0,0,0,186,0.0,False
